City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,-3.71,80,100,6.69,CA,1730175890
1,zarumilla,-3.5031,-80.2731,22.27,82,100,1.7,PE,1730175891
2,badger,64.8,-147.5333,-5.57,87,100,1.54,US,1730175892
3,kismayo,-0.3582,42.5454,26.16,74,62,3.97,SO,1730175893
4,waitangi,-43.9535,-176.5597,14.34,85,28,1.79,NZ,1730175894
5,nar'yan-mar,67.6713,53.087,1.05,84,100,6.85,RU,1730175895
6,longyearbyen,78.2186,15.6401,-1.09,93,75,2.06,SJ,1730175897
7,stanley,54.868,-1.6985,11.82,97,75,2.06,GB,1730175898
8,papatowai,-46.5619,169.4708,11.99,54,43,5.7,NZ,1730175899
9,grytviken,-54.2811,-36.5092,-0.31,96,100,2.37,GS,1730175900
10,margaret river,-33.95,115.0667,23.04,55,13,6.18,AU,1730175901
11,edinburgh of the seven seas,-37.0676,-12.3116,13.04,71,0,8.4,SH,1730175902
12,hawaiian paradise park,19.5933,-154.9731,24.73,95,40,1.54,US,1730175903
13,basoko,1.2391,23.616,21.95,95,39,0.07,CD,1730175904
14,queenstown,-31.8976,26.8753,9.52,78,14,2.74,ZA,1730175760
15,avarua,-21.2078,-159.775,24.03,73,75,5.14,CK,1730175907
16,iqaluit,63.7506,-68.5145,-6.15,92,75,3.09,CA,1730175908
17,isafjordur,66.0755,-23.124,1.34,94,100,3.41,IS,1730175909
18,kui buri,12.0828,99.8543,24.51,95,100,2.69,TH,1730175910
19,minas de marcona,-15.2119,-75.1103,13.26,83,21,2.84,PE,1730175911
20,thompson,55.7435,-97.8558,2.09,87,100,5.14,CA,1730175912
21,la mira,18.035,-102.3266,24.61,87,0,1.86,MX,1730175913
22,san luis,-33.295,-66.3356,21.45,38,7,3.58,AR,1730175644
23,mujiayingzi,42.1167,118.7833,12.09,44,40,8.61,CN,1730175916
24,tiksi,71.6872,128.8694,-21.6,99,96,1.57,RU,1730175918
25,adamstown,-25.066,-130.1015,21.05,75,16,3.1,PN,1730175919
26,talnakh,69.4865,88.3972,-8.75,95,95,3.12,RU,1730175920
27,udachny,66.4167,112.4,-20.8,99,95,2.22,RU,1730175921
28,crane,31.3974,-102.3501,22.09,36,0,12.36,US,1730175922
29,walvis bay,-22.9575,14.5053,10.53,100,0,1.54,NA,1730175923
30,port-aux-francais,-49.35,70.2167,2.48,89,98,8.3,TF,1730175925
31,aginskoye,51.1,114.53,4.87,61,36,3.62,RU,1730175926
32,utrik,11.2278,169.8474,28.75,76,36,4.66,MH,1730175927
33,east london,-33.0153,27.9116,17.52,67,0,4.12,ZA,1730175928
34,daru,-9.0763,143.2092,29.06,74,100,6.82,PG,1730175929
35,pacocha,-17.5833,-71.3333,17.73,82,62,0.41,PE,1730175930
36,port elizabeth,-33.918,25.5701,16.84,99,100,9.26,ZA,1730175934
37,wewak,-3.5534,143.6268,27.78,77,99,2.93,PG,1730175935
38,la passe,45.5549,-0.8967,12.91,92,11,2.54,FR,1730175936
39,margate,51.3813,1.3862,13.82,91,84,4.06,GB,1730175937
40,alotau,-10.3069,150.4462,26.87,88,100,2.16,PG,1730175938
41,bredasdorp,-34.5322,20.0403,13.99,92,4,2.24,ZA,1730175939
42,puerto natales,-51.7236,-72.4875,8.42,82,82,5.39,CL,1730175940
43,palikir - national government center,6.9248,158.1611,32.41,70,75,5.14,FM,1730175941
44,yantzaza,-3.8278,-78.7594,19.27,99,99,0.66,EC,1730175943
45,saipan,15.1355,145.701,32.39,74,40,5.14,MP,1730175944
46,axim,4.8699,-2.2405,25.18,89,99,2.56,GH,1730175945
47,alice springs,-23.7,133.8833,32.75,8,84,5.66,AU,1730175946
48,susuman,62.7833,148.1667,-13.85,87,100,1.31,RU,1730175947
49,salamanca,40.8333,-6.0,9.74,91,0,6.29,ES,1730175948
50,santa cruz,-17.8,-63.1667,24.7,78,20,1.54,BO,1730175949
51,wailua homesteads,22.0669,-159.378,23.96,89,100,2.24,US,1730175950
52,fort mcmurray,56.7268,-111.381,-0.23,74,100,5.14,CA,1730175951
53,ribeira grande,38.5167,-28.7,18.21,70,45,1.79,PT,1730175953
54,angaur state,6.906,134.13,27.92,77,100,6.72,PW,1730175954
55,college,64.8569,-147.8028,-5.52,86,100,1.54,US,1730175955
56,freetown,8.484,-13.2299,25.78,84,82,1.66,SL,1730175956
57,albu kamal,34.45,40.9186,14.94,28,0,2.08,SY,1730175957
58,keflavik,64.0049,-22.5624,5.24,87,75,10.8,IS,1730175958
59,mount isa,-20.7333,139.5,37.87,19,40,2.57,AU,1730175959
60,sitka,57.0531,-135.33,6.94,81,75,3.6,US,1730175961
61,carnarvon,-24.8667,113.6333,26.7,56,0,7.4,AU,1730175962
62,khanty-mansiysk,61.0042,69.0019,0.06,100,75,4.0,RU,1730175964
63,jamestown,42.097,-79.2353,8.8,78,0,2.57,US,1730175965
64,kem',64.9555,34.5793,2.86,76,98,5.39,RU,1730175966
65,vorgashor,67.5833,63.95,-2.61,96,100,5.01,RU,1730175967
66,baiyin,36.5583,104.2081,11.3,60,98,4.38,CN,1730175968
67,sola,-13.8833,167.55,25.78,81,100,2.68,VU,1730175970
68,zykovo,55.9519,93.1461,6.34,66,100,5.68,RU,1730175971
69,nova sintra,14.8667,-24.7167,25.67,69,37,6.66,CV,1730175972
70,bamboo flat,11.7,92.7167,29.38,67,32,2.15,IN,1730175973
71,vilyuchinsk,52.9306,158.4028,3.15,80,100,7.36,RU,1730175974
72,veydelevka,50.1521,38.4492,7.98,73,98,2.45,RU,1730175975
73,bethel,41.3712,-73.414,8.34,87,55,1.21,US,1730175976
74,port saint john's,-31.6229,29.5448,19.25,70,84,1.3,ZA,1730175977
75,senador jose porfirio,-2.5908,-51.9542,25.86,63,14,1.72,BR,1730175978
76,albany,42.6001,-73.9662,1.92,70,18,0.72,US,1730175755
77,ust-nera,64.5667,143.2,-17.04,95,84,1.26,RU,1730175981
78,luderitz,-26.6481,15.1594,14.73,77,0,5.87,NA,1730175692
79,barah,13.7,30.3667,23.37,16,6,4.04,SD,1730175983
80,mount gambier,-37.8333,140.7667,18.47,53,12,4.14,AU,1730175984
81,dongcun,36.7767,121.1597,17.19,40,0,1.85,CN,1730175985
82,kruisfontein,-34.0033,24.7314,15.66,94,100,8.85,ZA,1730175986
83,miahuatlan de porfirio diaz,16.3333,-96.6,16.27,94,97,2.56,MX,1730175987
84,dingwall,57.5953,-4.4272,7.99,95,84,2.55,GB,1730175989
85,gursarai,25.6148,79.1788,29.03,54,2,1.64,IN,1730175991
86,priozersk,61.0393,30.1291,2.83,85,14,3.69,RU,1730175992
87,bosobolo,4.1833,19.9,21.9,95,11,1.37,CD,1730175993
88,santa ana de yacuma,-13.75,-65.4333,25.97,65,55,1.57,BO,1730175994
89,iskateley,67.6803,53.1512,1.0,84,100,6.83,RU,1730175995
90,blackmans bay,-43.0167,147.3167,20.85,47,13,2.7,AU,1730175997
91,kailua-kona,19.6406,-155.9956,25.86,94,93,2.4,US,1730175998
92,ewo,-0.8725,14.8206,21.67,96,83,1.92,CG,1730175999
93,santiago de cao,-7.9589,-79.2392,16.07,88,56,3.09,PE,1730176000
94,arica,-18.475,-70.3042,18.13,72,100,1.54,CL,1730175708
95,songea,-10.6833,35.65,19.54,82,6,2.69,TZ,1730176002
96,lucea,18.451,-78.1736,26.92,84,88,6.78,JM,1730176003
97,lafia,8.4833,8.5167,22.64,64,7,1.18,NG,1730176004
98,severnoye,56.3491,78.3619,2.08,84,100,4.37,RU,1730176006
99,lata,40.1629,-8.3327,10.23,87,0,2.18,PT,1730176007
100,kodiak,57.79,-152.4072,6.73,100,100,3.6,US,1730176008
101,holualoa,19.6228,-155.9522,23.79,93,93,1.94,US,1730176009
102,urangan,-25.3,152.9,25.42,54,0,5.75,AU,1730176010
103,afaahiti,-17.75,-149.2833,23.24,71,93,7.72,PF,1730176011
